Population,Individual,Song,NMDS1,NMDS2,X
Copeland_M,C01_M_A,"C01_20260526_020002_1_M,1",-0.654608201644321,-0.361600162992961,NA
Copeland_M,C01_M_A,"C01_20260526_020002_1_M,2",-0.580123818687408,-0.814572534365525,NA
Copeland_M,C01_M_A,"C01_20260526_020002_1_M,3",-0.894503950450586,-0.650326162606697,NA
Copeland_M,C01_M_A,"C01_20260526_020002_1_M,4",-0.935708419277583,-0.62663904198912,NA
Copeland_M,C01_M_A,"C01_20260526_020002_1_M,5",-1.19226696587561,0.0727208713498004,NA
Copeland_M,C01_M_A,"C01_20260526_020002_2_M,1",-1.0431286029785,-0.108333280514308,NA
Copeland_M,C01_M_A,"C01_20260526_020002_2_M,2",-1.11253292838414,-0.109474836787713,NA
Copeland_M,C01_M_A,"C01_20260526_020002_2_M,3",-1.24190245654611,-0.53430150420246,NA
Copeland_M,C01_M_A,"C01_20260526_020002_2_M,4",-1.98343479444708,0.927411367595681,NA
Copeland_M,C01_M_A,"C01_20260527_020002_3_M,1",-0.665103610927364,-0.617903349197755,NA
Copeland_M,C01_M_A,"C01_20260527_020002_3_M,2",-0.452111696578994,-0.298906289967095,NA
Copeland_M,C01_M_A,"C01_20260527_020002_3_M,3",-0.447192143843508,-0.0281331664803423,NA
Copeland_M,C01_M_A,"C01_20260527_020002_3_M,4",-0.488498290226411,-0.128047345276428,NA
Copeland_M,C01_M_A,"C01_20260527_020002_3_M,5",0.480744948596805,-1.47170368126788,NA
Copeland_M,C01_M_A,"C01_20260527_020002_4_M,1",-0.749394184691567,-0.282019371195452,NA
Copeland_M,C01_M_A,"C01_20260527_020002_4_M,2",-0.932946579732866,-0.26200845968783,NA
Copeland_M,C01_M_A,"C01_20260527_020002_4_M,3",-0.823059097390055,-0.111522104316906,NA
Copeland_M,C01_M_A,"C01_20260527_020002_4_M,4",-0.426071089361527,-0.653452141171084,NA
Copeland_M,C01_M_A,"C01_20260527_020002_1_M,1",-0.894682704030377,-0.307289158045456,NA
Copeland_M,C01_M_A,"C01_20260527_020002_1_M,2",-0.587558732889746,-0.740959914658587,NA
Copeland_M,C01_M_A,"C01_20260527_020002_1_M,3",-0.637167863091307,-0.36274052720456,NA
Copeland_M,C01_M_A,"C01_20260527_020002_1_M,4",-0.672809188277425,-0.740156536057229,NA
Copeland_M,C02_M_A,"C02_20260526_000000_10_M,1",0.0785094916157434,-0.356315838689483,NA
Copeland_M,C02_M_A,"C02_20260526_000000_10_M,2",1.22687564892882,0.382006115343726,NA
Copeland_M,C02_M_A,"C02_20260526_000000_10_M,3",1.36539230566168,0.192371621985206,NA
Copeland_M,C02_M_A,"C02_20260526_000000_10_M,4",1.50940658341478,-0.517295669837667,NA
Copeland_M,C02_M_A,"C02_20260526_000000_3_M,1",0.785211698543193,-0.320382431224336,NA
Copeland_M,C02_M_A,"C02_20260526_000000_8_M,1",-0.385632175809403,-1.15083227945717,NA
Copeland_M,C02_M_A,"C02_20260526_000000_8_M,2",-0.309070985607533,-1.34027563848505,NA
Copeland_M,C02_M_A,"C02_20260526_000000_8_M,3",-0.134529630178104,-1.60407459503381,NA
Copeland_M,C02_M_A,"C02_20260526_000000_2_M,1",0.858851030860956,-0.320439155015301,NA
Copeland_M,C02_M_A,"C02_20260526_000000_2_M,2",1.10913135497336,-0.145398537915708,NA
Copeland_M,C02_M_A,"C02_20260526_000000_2_M,3",0.910929003821245,-0.622778281070312,NA
Copeland_M,C02_M_A,"C02_20260526_000000_1_M,1",1.47800660201671,0.5150650723007,NA
Copeland_M,C02_M_A,"C02_20260526_000000_1_M,2",0.823488611922222,-0.0421615119913372,NA
Copeland_M,C02_M_A,"C02_20260526_000000_11_M,1",0.953312563027114,0.20663132041838,NA
Copeland_M,C02_M_A,"C02_20260526_000000_11_M,2",1.80885527275636,0.419501288548562,NA
Copeland_M,C02_M_A,"C02_20260526_000000_11_M,3",0.895063166688043,-0.217267678110245,NA
Copeland_M,C02_M_A,"C02_20260526_000000_4_M,1",0.930936649995468,-0.393577612417492,NA
Copeland_M,C02_M_A,"C02_20260526_000000_4_M,2",0.34685484235266,-0.763892564298079,NA
Copeland_M,C02_M_A,"C02_20260526_000000_3_M2,1",1.06266204602528,-0.359030693309356,NA
Copeland_M,C02_M_A,"C02_20260529_000000_8_M,1",-0.175841293075605,-1.14188864191915,NA
Copeland_M,C02_M_A,"C02_20260529_000000_8_M,2",-0.106101348128137,-1.18049992439054,NA
Copeland_M,C02_M_A,"C02_20260529_000000_8_M,3",0.121694103341237,-1.44139514167054,NA
Copeland_M,C02_M_B,"C02_20260528_010000_10_M,1",0.59761426657285,-0.0942210080424609,NA
Copeland_M,C02_M_B,"C02_20260528_010000_10_M,2",1.41121355056131,-0.0662844862596486,NA
Copeland_M,C02_M_B,"C02_20260528_010000_10_M,3",1.80932569539142,0.226251988383657,NA
Copeland_M,C02_M_B,"C02_20260528_010000_10_M,4",1.17395738670733,0.00451533121231173,NA
Copeland_M,C02_M_B,"C02_20260528_010000_10_M,5",1.06046119307675,-0.686433042253826,NA
Copeland_M,C02_M_B,"C02_20260528_010000_5_M,1",-0.906587385595114,-0.95664738536452,NA
Copeland_M,C02_M_B,"C02_20260528_010000_5_M,2",-0.585177021147335,-0.733144288658983,NA
Copeland_M,C02_M_B,"C02_20260528_010000_5_M,3",-0.832122535748706,-0.490737741537762,NA
Copeland_M,C02_M_B,"C02_20260528_010000_5_M,4",0.00173769730159924,-1.00487366291317,NA
Copeland_M,C02_M_B,"C02_20260528_010000_7_M,1",-0.408369892163914,-1.03956618659872,NA
Copeland_M,C02_M_B,"C02_20260528_010000_7_M,2",-0.303581208556805,-0.964039306934303,NA
Copeland_M,C02_M_B,"C02_20260528_010000_7_M,3",0.0216087851053215,-1.1966496362268,NA
Copeland_M,C02_M_B,"C02_20260528_010000_11_M,1",0.734292894373128,1.01035912740234,NA
Copeland_M,C02_M_B,"C02_20260528_010000_11_M,2",2.04416484717417,1.04514354717363,NA
Copeland_M,C02_M_B,"C02_20260528_010000_11_M,3",1.32699408249454,-0.337342175107121,NA
Copeland_M,C02_M_B,"C02_20260528_010000_9_M,1",-0.504261013726245,-0.617669551181779,NA
Copeland_M,C02_M_B,"C02_20260528_010000_9_M,2",-0.369216076738689,-0.587105911286687,NA
Copeland_M,C02_M_B,"C02_20260528_010000_9_M,3",0.643878152639468,-1.37400987531178,NA
Copeland_F,C05_F_A,"C05_20260526_010000_1_F,1",-1.55610256424103,0.267349434915516,NA
Copeland_F,C05_F_A,"C05_20260526_010000_1_F,2",0.0925167302895508,1.22665021010903,NA
Copeland_F,C05_F_A,"C05_20260526_010000_1_F,3",0.141332380131747,1.241174022162,NA
Copeland_F,C05_F_A,"C05_20260526_010000_1_F,4",-0.340992266809711,0.323745047934736,NA
Copeland_F,C05_F_A,"C05_20260526_010000_4_F,1",-1.98244693769397,-0.144654586582611,NA
Copeland_F,C05_F_A,"C05_20260526_010000_4_F,2",-1.57458741305247,-0.181904356168936,NA
Copeland_F,C05_F_A,"C05_20260526_010000_4_F,3",-1.50095610899606,-0.348386130774601,NA
Copeland_F,C05_F_A,"C05_20260526_010000_4_F,4",-2.11993499935473,-0.832387698815535,NA
Copeland_F,C05_F_A,"C05_20260526_010000_2_F,1",-2.04133637893538,-0.459839203687696,NA
Copeland_F,C05_F_A,"C05_20260526_010000_2_F,2",-1.70075778947272,-0.272991149628555,NA
Copeland_F,C05_F_A,"C05_20260526_010000_2_F,3",-1.77056598662334,-0.721624742256916,NA
Copeland_F,C05_F_A,"C05_20260528_230000_3_F,1",-1.76079719344801,-0.316129999594356,NA
Copeland_F,C05_F_A,"C05_20260528_230000_3_F,2",-1.57249980423589,-0.284338496926518,NA
Copeland_F,C05_F_A,"C05_20260528_230000_3_F,3",-1.57991816839944,-0.209058525378918,NA
Copeland_F,C05_F_A,"C05_20260528_230000_3_F,4",-1.06878081808475,-1.09166177790749,NA
Copeland_F,C05_F_A,"C05_20260526_010000_3_F,1",-1.70779694931478,-0.22797113452777,NA
Copeland_F,C05_F_A,"C05_20260526_010000_3_F,2",-1.6033247158735,0.0449655340237131,NA
Copeland_F,C05_F_A,"C05_20260526_010000_3_F,3",-1.5849329390016,-0.56987639514048,NA
Copeland_F,C05_F_A,"C05_20260602_000000_1_F,1",-1.74072881441145,-0.72197822641966,NA
Copeland_F,C05_F_A,"C05_20260604_010000_3_F,1",0.480348078787393,0.39327468919455,NA
Copeland_F,C05_F_A,"C05_20260604_010000_3_F,2",-0.210675916913566,-0.596739229375807,NA
Copeland_M,C05_M_A,"C05_20260604_010000_10_M,1",1.74940433419068,1.06739166679802,NA
Copeland_M,C05_M_A,"C05_20260604_010000_10_M,2",1.04201869692834,1.39856709619982,NA
Copeland_M,C05_M_A,"C05_20260604_010000_10_M,3",1.64184593694098,1.15209377012813,NA
Copeland_M,C05_M_A,"C05_20260604_010000_5_M,1",1.41414026029627,1.14535473587908,NA
Copeland_M,C05_M_A,"C05_20260604_010000_5_M,2",1.66352441668384,1.43114472813122,NA
Copeland_M,C05_M_A,"C05_20260604_010000_5_M,3",1.25007325239872,1.71726711747328,NA
Copeland_M,C05_M_A,"C05_20260604_010000_5_M,4",0.863843504967558,1.31221162658944,NA
Copeland_M,C05_M_A,"C05_20260602_010000_1_M_1,1",0.168130409327061,-0.588782753813535,NA
Copeland_M,C05_M_A,"C05_20260604_010000_6_M,1",1.35862535062835,2.0481105680645,NA
Copeland_M,C05_M_A,"C05_20260604_010000_6_M,2",0.811933421877456,2.02000266857798,NA
Copeland_M,C05_M_A,"C05_20260604_010000_6_M,3",0.62580613823082,1.41808675545697,NA
Copeland_M,C05_M_A,"C05_20260604_010000_12_M,1",1.64367104146104,1.40397664408135,NA
Copeland_M,C05_M_A,"C05_20260604_010000_12_M,2",1.45505014409609,1.35387630453128,NA
Copeland_M,C05_M_A,"C05_20260602_010000_8_M,1",-0.244800718972122,0.31479475202455,NA
Copeland_M,C05_M_A,"C05_20260602_010000_8_M,2",0.20629860071437,-0.0160620206462814,NA
Copeland_M,C05_M_A,"C05_20260604_010000_11_M,1",1.59667759004651,1.73112838306052,NA
Copeland_M,C05_M_A,"C05_20260604_010000_11_M,2",1.82456298453934,1.85752374900801,NA
Copeland_M,C05_M_A,"C05_20260604_010000_1_M,1",0.430442250809555,-0.456135016009096,NA
Copeland_M,C05_M_A,"C05_20260604_010000_1_M,2",1.25388166362633,0.0899545697003919,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,1",-1.35261137485014,0.128597920713056,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,2",-1.29855877388148,0.43220539729978,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,3",-1.69734267129714,0.649529076445484,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,4",-1.90887886771986,1.02362500495017,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,5",-2.03226227522065,1.21060666309436,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,6",-2.42123323947478,1.20602116065388,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,7",-4.60118215057204,2.81102679336834,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,8",-4.06294033082388,1.71253703621199,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,9",-3.82647519895486,2.01943340295414,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,10",-3.03982741483828,1.33942259086044,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,11",-3.43798917426712,2.11200926616585,NA
Copeland_F,C06_F_A,"C06_20260527_000000_1_F,12",-2.56677579255864,-0.255668873296335,NA
Copeland_F,C06_F_A,"C06_20260527_000000_2_F,1",-1.90602856142027,0.356553293919421,NA
Copeland_F,C06_F_A,"C06_20260527_000000_2_F,2",-1.97241194616184,0.634439601267685,NA
Copeland_F,C06_F_A,"C06_20260527_000000_2_F,3",-1.99421993229518,0.61288905641667,NA
Copeland_F,C06_F_A,"C06_20260527_000000_2_F,4",-2.52800011388917,1.01355668966691,NA
